종목명,종목코드,DART점수,Tier1발동,Tier1,호재내역,악재내역,최근공시,공시건수
모아라이프플러스,142760,-165,🚨 YES,주권매매거래정지해제              (액면병합 주권 변경상장) | [기재정정]주요사항보고서(전환사채권발행결정) | [첨부정정]주요사항보고서(전환사채권발행결정),,주권매매거래정지해제              (액면병합 주권 변경상장)(-30) | [기재정정]최대주주변경을수반하는주식담보제공계약체결              (-5) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [첨부정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]최대주주변경을수반하는주식담보제공계약체결              (-5),2026-08-28: 주권매매거래정지해제              (액면병합 주권 변경상장) | 2026-08-27: [기재정정]최대주주변경을수반하는주식담보제공계약체결               | 2026-08-27: 주식등의대량보유상황보고서(약식) | 2026-08-20: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-08-18: [첨부정정]주요사항보고서(전환사채권발행결정),14
본느,226340,-155,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [첨부정정]주요사항보고서(전환사채권발행결정) | [첨부정정]주요사항보고서(전환사채권발행결정),,[기재정정]주요사항보고서(유상증자결정)(-15) | [첨부정정]주요사항보고서(전환사채권발행결정)(-15) | [첨부정정]주요사항보고서(전환사채권발행결정)(-15) | 횡령ㆍ배임혐의발생              (-25) | 횡령ㆍ배임혐의발생              (-25),2026-08-28: 증권발행결과(자율공시)              (제6회차 CB) | 2026-08-28: 증권발행결과(자율공시)              (제5회차 CB) | 2026-08-26: [기재정정]주주총회소집결의               | 2026-08-26: [기재정정]주주총회소집공고 | 2026-08-26: 주주총회소집공고,23
CSA 코스믹,083660,-150,🚨 YES,주권매매거래정지해제              (액면분할 주권 변경상장) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(전환사채권발행결정),,주권매매거래정지해제              (액면분할 주권 변경상장)(-30) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-08-31: 증권발행결과(자율공시)              (제3자배정 유상증자) | 2026-08-27: [기재정정]주주총회소집결의              (임시주주총회) | 2026-08-27: 대표이사변경               | 2026-08-25: 주권매매거래정지해제              (액면분할 주권 변경상장) | 2026-08-21: [기재정정]주요사항보고서(유상증자결정),14
다보링크,340360,-135,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정),단일판매ㆍ공급계약체결              (+5),[기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15),2026-08-31: [기재정정]주주총회소집결의              (임시주주총회) | 2026-08-31: [기재정정]주요사항보고서(유상증자결정) | 2026-08-31: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-08-28: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-08-25: [기재정정]주요사항보고서(유상증자결정),19
한국첨단소재,062970,-130,🚨 YES,주권매매거래정지해제              (우회상장 미해당) | 주권매매거래정지              (우회상장여부 및 요건충족확인) | [기재정정]주요사항보고서(유상증자결정),,[기재정정]최대주주변경              (-5) | 주권매매거래정지해제              (우회상장 미해당)(-30) | 최대주주변경              (-5) | 주권매매거래정지              (우회상장여부 및 요건충족확인)(-30) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-08-31: 기타시장안내(최대주주의의무보유관련)              (최대주주의 의무보유 이행 관련) | 2026-08-31: [기재정정]최대주주변경               | 2026-08-28: 주권매매거래정지해제              (우회상장 미해당) | 2026-08-27: 소액공모실적보고서 | 2026-08-27: 증권발행결과(자율공시)              ,18
한국유니온제약,080720,-115,🚨 YES,주권매매거래정지기간변경              (투자자 보호) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정),,주권매매거래정지기간변경              (투자자 보호)(-30) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-08-31: 기타시장안내              (관리종목 지정 사유 일부 해제 관련 시장조치 미진행) | 2026-08-31: 회생절차종결결정               | 2026-08-27: 주권매매거래정지기간변경              (투자자 보호) | 2026-08-27: [기재정정]감자완료               | 2026-08-19: [기재정정]주요사항보고서(유상증자결정),12
KS인더스트리,101000,-110,🚨 YES,"기타시장안내(관리종목지정우려종목)              (시가총액 200억원 미달) | 기타시장안내(관리종목지정우려종목)              (주가 1,000원 미달) | [기재정정]주요사항보고서(감자결정)",,"기타시장안내(관리종목지정우려종목)              (시가총액 200억원 미달)(-30) | 기타시장안내(관리종목지정우려종목)              (주가 1,000원 미달)(-30) | [기재정정]주요사항보고서(감자결정)(-20) | 주권매매거래정지해제              (감자 주권 변경상장)(-30)","2026-08-28: 기타시장안내(관리종목지정우려종목)              (시가총액 200억원 미달) | 2026-08-28: 기타시장안내(관리종목지정우려종목)              (주가 1,000원 미달) | 2026-08-28: 주요사항보고서(자기전환사채만기전취득결정) | 2026-08-28: [기재정정]금전대여결정               | 2026-08-25: [기재정정]주주총회소집결의              (임시주주총회)",15
캔버스엔,210120,-105,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정),,[기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | 주권매매거래정지해제              (액면병합 주권 변경상장)(-30) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-08-27: [기재정정]주주총회소집결의              (임시주주총회) | 2026-08-27: 의결권대리행사권유참고서류 | 2026-08-27: 주주총회소집공고 | 2026-08-27: 의결권대리행사권유참고서류 | 2026-08-27: 주주총회소집공고,20
서한,011370,-100,🚨 YES,"주권매매거래정지해제              (액면병합 주권 변경상장) | [첨부정정]주요사항보고서(신주인수권부사채권발행결정) | 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)",단일판매ㆍ공급계약체결              (+5),"주권매매거래정지해제              (액면병합 주권 변경상장)(-30) | [첨부정정]주요사항보고서(신주인수권부사채권발행결정)(-15) | 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)(-30) | 기타시장안내(관리종목지정우려종목)              (주가 1,000원 미달)(-30)",2026-08-31: 주권매매거래정지해제              (액면병합 주권 변경상장) | 2026-08-31: 단일판매ㆍ공급계약체결               | 2026-08-14: 반기보고서 (2026.06) | 2026-08-11: 주식등의대량보유상황보고서(일반) | 2026-08-11: 임원ㆍ주요주주특정증권등소유상황보고서,8
아이큐어,175250,-100,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정),,[기재정정]최대주주변경              (-5) | 최대주주변경              (-5) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-08-31: [기재정정]최대주주변경               | 2026-08-31: [기재정정]증권발행결과(자율공시)               | 2026-08-28: 기타시장안내(최대주주의의무보유관련)               | 2026-08-28: 최대주주변경               | 2026-08-28: 증권발행결과(자율공시)              ,21
